record_id,vendor,category,sub_metric,period,result_version,source_record_id,target,actual,unit,score_method,official_score,actual_attainment,forecast,confidence,freshness_date,owner,verification_level,evidence_refs,source,notes,recorded_date,recorded_by
RES-0001,Atlassian,sales_performance,Pipeline growth QoQ,2026-Q3,1,MET-0001,500000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0002,Atlassian,sales_performance,Bookings/revenue attainment vs quota,2026-Q3,1,MET-0002,1200000,0,EUR,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0003,Atlassian,sales_performance,Win rate on registered deals,2026-Q3,1,MET-0003,35,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0004,Atlassian,marketing,Co-marketing campaigns executed vs planned,2026-Q3,1,MET-0004,6,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0005,Atlassian,marketing,MDF utilization rate,2026-Q3,1,MET-0005,100,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0006,Atlassian,marketing,Marketing-sourced leads,2026-Q3,1,MET-0006,40,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0007,Atlassian,market_visibility,Marketplace app rating,2026-Q3,1,MET-0007,4.5,0,stars,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0008,Atlassian,market_visibility,Partner directory profile completeness,2026-Q3,1,MET-0008,100,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0009,Atlassian,market_visibility,Press/analyst mentions volume,2026-Q3,1,MET-0009,12,2,count,ratio,16.7,16.7,,,2026-07-01,Steve Mojsak,unverified,,data/news_log.csv (live count),"LIVE — driven by the automated 12h web scan for Communardo mentions; this is the only non-zero sub-metric in the whole reset, by design",2026-07-18,migration_002
RES-0010,Atlassian,market_visibility,Case studies/success stories published,2026-Q3,1,MET-0010,4,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0011,Atlassian,ai_adoption,Internal AI tool adoption rate (e.g. Rovo),2026-Q3,1,MET-0011,100,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0012,Atlassian,ai_adoption,AI-related customer engagements delivered,2026-Q3,1,MET-0012,8,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0013,Atlassian,ai_adoption,AI enablement certifications completed,2026-Q3,1,MET-0013,15,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0014,Atlassian,business_planning_qbr,QBR cadence adherence,2026-Q3,1,MET-0014,4,0,count,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
RES-0015,Atlassian,business_planning_qbr,Joint business plan goal attainment,2026-Q3,1,MET-0015,100,0,%,ratio,0.0,0.0,,,2026-07-01,Steve Mojsak,unverified,,,RESET 2026-07-01 — awaiting real data,2026-07-18,migration_002
